iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
23000	17.161	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23100	17.244	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23200	17.327	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23300	17.409	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23400	17.493	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23500	17.576	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23600	17.657	0.555	-3607.992	-23.012	-3584.98	0.32	1.0	3.677	0.38
23700	17.725	0.541	-3609.208	-20.975	-3588.234	0.32	1.0	5.321	0.412
23800	17.79	0.541	-3609.208	-20.975	-3588.234	0.32	1.0	5.321	0.412
23900	17.855	0.541	-3609.208	-20.975	-3588.234	0.32	1.0	5.321	0.412
24000	17.92	0.541	-3609.208	-20.975	-3588.234	0.32	1.0	5.321	0.412
24100	17.986	0.554	-3609.348	-23.572	-3585.776	0.32	1.0	3.305	0.375
24200	18.052	0.546	-3610.844	-24.198	-3586.647	0.32	1.0	2.936	0.37
24300	18.119	0.558	-3609.063	-23.236	-3585.827	0.32	1.0	3.516	0.379
24400	18.199	0.564	-3609.937	-22.59	-3587.347	0.32	1.0	3.944	0.39
24500	18.268	0.57	-3608.709	-24.21	-3584.499	0.32	1.0	2.954	0.365
24600	18.333	0.57	-3608.709	-24.21	-3584.499	0.32	1.0	2.954	0.365
24700	18.398	0.57	-3612.508	-24.592	-3587.917	0.32	1.0	2.719	0.368
24800	18.464	0.55	-3609.127	-22.903	-3586.224	0.32	1.0	3.735	0.384
24900	18.529	0.55	-3609.127	-22.903	-3586.224	0.32	1.0	3.735	0.384
25000	18.608	0.55	-3609.127	-22.903	-3586.224	0.32	1.0	3.735	0.384
25100	18.691	0.55	-3609.127	-22.903	-3586.224	0.32	1.0	3.735	0.384
25200	18.755	0.547	-3610.667	-23.332	-3587.335	0.32	1.0	3.437	0.381
25300	18.819	0.547	-3610.667	-23.332	-3587.335	0.32	1.0	3.437	0.381
25400	18.888	0.544	-3609.818	-22.389	-3587.429	0.32	1.0	4.094	0.393
25500	18.967	0.563	-3608.337	-23.411	-3584.926	0.32	1.0	3.416	0.375
25600	19.034	0.572	-3608.661	-24.246	-3584.415	0.32	1.0	2.935	0.364
25700	19.099	0.572	-3608.661	-24.246	-3584.415	0.32	1.0	2.935	0.364
25800	19.165	0.572	-3608.661	-24.246	-3584.415	0.32	1.0	2.935	0.364
25900	19.229	0.567	-3608.174	-24.152	-3584.022	0.32	1.0	2.992	0.364
26000	19.294	0.567	-3608.174	-24.152	-3584.022	0.32	1.0	2.992	0.364
26100	19.359	0.567	-3608.174	-24.152	-3584.022	0.32	1.0	2.992	0.364
26200	19.426	0.567	-3608.174	-24.152	-3584.022	0.32	1.0	2.992	0.364
26300	19.492	0.56	-3609.663	-23.87	-3585.792	0.32	1.0	3.128	0.372
26400	19.558	0.571	-3609.626	-23.337	-3586.289	0.32	1.0	3.446	0.379
